ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
72	SMCJ33CA (ext)	D1	SMC_L6.9-W5.9-LS7.9-BI	1	SMCJ33CA	Brightking Elec (TAIWAN)	LCSC	C310048	0.127
73	red  (mod)	F+5V,REV	LED0603-FD	2	KT-0603R	Hubei KENTO Elec	LCSC	C2286	
74	EL357N(B)(TA)-G	U1	OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL	1	EL357N(B)(TA)-G	EVERLIGHT	LCSC	C6649	0.056
75	yellow  (mod)	WAS2	LED0603-RD	1	19-213/Y2C-CQ2R2L/3T(CY)	Everlight Elec	LCSC	C72038	0.014
82	100pF 50V (mod)	C17,C18	C0603	2	CL10C101JB8NNNC	Samsung Electro-Mechanics	LCSC	C14858	0.005
83	SED4060G (ext)	Q7,Q8	POWERVDFN-8_L6.0-W5.0-P1.27-BL	2	SED4060G	SINO-IC	LCSC	C238671	0.402
84	750  (mod)	R19	R1206	1	1206W4F7500T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C17985	0.004
85	BTS50301EJAXUMA1 (ext)	U2,U14	PG-DSO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP	2	BTS50301EJAXUMA1	Infineon Technologies	LCSC	C454924	1.885
86	BTN8982TAA (ext)	U10	TO-263-7_L10.2-W10.4-P1.27-LS14.4-B	1	BTN8982TAAUMA1	Infineon	LCSC	C74175	4.91
88	F0805	F5	F0805	1	BSMD0805-050-24V	BHFUSE	LCSC	C910822	
90	100uF	C2	CAP-SMD_L3.5-W2.8	1	TAJB107K006RNJ	AVX	LCSC	C16133	0.164
92	22  (mod)	R1	R1206	1	1206W4F220JT5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C17958	0.004
94	BTN8982TAAUMA1 (ext)	U9	TO-263-7_L10.2-W10.4-P1.27-LS14.4-B	1	BTN8982TAAUMA1	Infineon	LCSC	C74175	4.91
95	ADS1115IDGSR (ext)	U17	MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL	1	ADS1115IDGSR	TI	LCSC	C37593	5.305
102	47k (mod)	R51,R55,R72,R73,R62,R82,R92	R0603	7	0603WAF4702T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25819	
