ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
38	1K  (mod)	R20,R26,R36,R37,R38,R39,R40,R41,R42,R43,R1,R2,R3,R5,R6,R9,R10,R12,R13,R15,R16,R18,R19,R21,R22,R24,R25,R27,R28,R29,R30,R31,R32,R34,R35,R57,R60,R62,R72,R83,R89,R106,R107,R108	R0603	44	0603WAF1001T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C21190	0.001
39	LM393DR2G	U1,U2	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL	2	LM393DR2G	ON	LCSC	C7955	0.162
40	TYPE-C-31-M-12 (ext)	USBC	USB-C_SMD-TYPE-C-31-M-12	1	TYPE-C-31-M-12	Rectangular Connectors - Contacts	LCSC	C165948	0.287
41	SPDT SWITCH (ext)	ALL_ON,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,PRESS,WORK,STEER,SLOPE_	SPDT SWITCH ON ON	13	Switch SPDT				
42	10uF 25V (mod)	C65,C66,C67	C0805	3	CL21A106KAYNNNE	Samsung Electro-Mechanics	LCSC	C15850	
43	22pF 50V (mod)	C76,C77	C0603	2	CL10C220JB8NNNC	Samsung Electro-Mechanics	LCSC	C1653	0.004
44	SS14FL_C118876 (ext)	D1	SOD-123F_L2.8-W1.8-LS3.7-RD	1	SS14FL	ON Semicon	LCSC	C118876	
45	"TM1637 7-SEGMET 4-DIGIT 0.56"" (ext)"	DP1	TM1637 4-DIGITS*	1					
46	HDMI-019S (ext)	HDMI	HDMI-SMD_HDMI-019S	1	HDMI-019S	SOFNG	LCSC	C111617	0.302
47	2N7002  (mod)	Q17,Q20	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	2	2N7002	Changjiang Electronics Tech (CJ)	LCSC	C8545	0.023
48	BC846AMTF  (mod)	Q18,Q19	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	2	MMBT2222A 1P	Changjiang Electronics Tech (CJ)	LCSC	C8512	0.08
49	100K  (mod)	R77,R78,R79	R0603	3	0603WAF1003T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25803	0.007
50	blue  (mod)	TXD1,WIFI	LED0603-RD	2	19-217/BHC-ZL1M2RY/3T	Everlight Elec	LCSC	C72041	0.015
51	78L12G-AB3-R	U3	SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR	1	78L12G-AB3-R	UTC	LCSC	C75501	0.122
52	AMS1117-3.3	U4	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR	1	AMS1117-3.3	AMS	LCSC	C6186	0.159
53	ESP32-WROOM-32U(16MB) (ext)	U6	WIFIM-SMD_39P-L19.2-W18.0-P1.27	1	ESP32-WROOM-32U(16MB)	Espressif Systems	LCSC	C529580	6.859
54	CH340B (ext)	U23	SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL	1	CH340B	WCH	LCSC	C81010	1.19
55	ATMEGA328P-AU	U26	TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL	1	ATMEGA328P-AU	MICROCHIP	LCSC	C14877	9.961
56	16MHz (ext)	X3	OSC-SMD_4P-L2.0-W1.6-BL	1	X201616MPB4SC	Yangxing Tech	LCSC	C108156	0.138
57	15K  (mod)	R66,R67,R68,R69,R85,R86,R87,R88	R0603	8	0603WAF1502T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C22809	0.001
58	THV8000DDFR	U7	SOT65P280X110-8N	1	KY3485LEEN	Keysemi	LCSC	C428902	0.693
59	100uH	L2,L3	IND-SMD_L4.5-W4.0_SM4532	2	MSCD43-101KT	Meled(美莱)	LCSC	C915176	0.027
